type,category,review,star
SK매직 식기세척기,별점,"너무편해지고 깨끗해서 좋네요
완전건조가 안되는것만빼면 100점입니다.",평점4
SK매직 식기세척기,별점,보급형 모델이지만 sk매직 믿고 구매했습니다. 배송 설치 다 좋고 상품 기능과 품질도 너무 만족입니다.,평점4
SK매직 식기세척기,별점,원래 썼던제품인데 이사오면서 새로 샀어요아주 깔끔하고 성능좋아요,평점4
SK매직 식기세척기,별점,"가끔 세제가 덜 녹고 붙어 있어 짜증나요 그럴 때는
한 번 더 돌려요",평점4
SK매직 식기세척기,별점,처음에 그릇에 뭐가 좀 묻어낚지만 한달 쓴 지금은 괜찮아졌어요~,평점4
SK매직 식기세척기,별점,"오늘 설치하고 가셨어요.
약속한 날짜에 딱 오시고 금방 설치해주고 가셔서 너무 좋아요.
친절하시고 세제까지 주시네요.",평점4
SK매직 식기세척기,별점,"기본 기능만 있는 제품으로 선택 했어요
세척 잘되고 만족합니다",평점4
SK매직 식기세척기,별점,잘쓰고 있어요 크기 넉넉하고 그릇을 잘 넣으면 세척이 잘됩니다,평점4
SK매직 식기세척기,별점,"배송 좋아요,설치비 5만원 내야 하고요.아직사용은 안해봤어요",평점4
SK매직 식기세척기,별점,제조년이 좀 되었지만 크게 불편하지 않아 재구매했습니다. 신제품가격은 100만이상 비싸서 가격대비 가성비를 고려하여 구매하였습니다. 다음에 구입시는 신제품으로 구매해봐야 겠습니다.,평점4
SK매직 식기세척기,별점,"기본기능에 충실해서 좋아요. 세척잘되고, 자동열림버튼기능없는게 아쉽지만 그래도 가성비좋아 만족합니다",평점4
SK매직 식기세척기,별점,애가 셋이라 젖병닦기가 일이였는데 진짜편리하고 좋아요,평점4
SK매직 식기세척기,별점,훨 편하긴 한데 애벌하고 넣어요 완전 세척은 잘안되네여,평점4
SK매직 식기세척기,별점,싱크대 새로 하면서 넣었어요~따뜻한 물도 나오고 좋아요,평점4
SK매직 식기세척기,별점,가성비 좋은 제품. 써보고 좋아서 어머니께 해드렸어요.,평점4
SK매직 식기세척기,별점,"배송,설치 너무 좋았습니다.
식기세척기도 잘 작동해요~",평점4
SK매직 식기세척기,별점,"좋은상품 잘 샀읍니다
설치기사님도 너무 친절하시네요",평점4
SK매직 식기세척기,별점,"아직 사용전이지만 기대가 되네요
설치가 꽤 오래걸렸내요 추가비 오만원 냈고요
깔끔하게 설치가 돼서 좋아요",평점4
SK매직 식기세척기,별점,"좋은데 약간 아쉬운점도 있어요
걸레받이가 안 맞네요",평점4
SK매직 식기세척기,별점,새로 이사갈집 수리중인데 잘어울리고 만족합니다~^^,평점4
SK매직 식기세척기,별점,사용하기 좋습니다. 덕분에 시간적여유가 생겼네요,평점4
